0,ipsum,InStock,4535.78,USD,3.8,116,Fugiat ipsum veniam elit cupidatat adipisicing.
1,dolore,SoldOut,1652.93,USD,2.7,854,Amet irure labore non cillum consequat fugiat.
2,dolore,SoldOut,3996.32,USD,3.5,913,Ad cillum et pariatur in qui consectetur ut veniam aute mollit laboris elit ipsum exercitation.
3,nisi,Discontinued,2572.98,USD,1.5,670,Laborum proident aliqua occaecat veniam laborum pariatur non tempor enim duis ipsum officia id.
4,quis,OutOfStock,2815.14,USD,0.8,15,Aliqua amet aliquip deserunt fugiat esse ipsum consequat eu ea velit eiusmod velit amet do.
5,ut,InStock,6651.13,USD,1,681,Commodo sint mollit nisi qui aute id proident dolor magna fugiat excepteur ea deserunt.
6,exercitation,OutOfStock,6004.94,USD,3.1,67,Mollit occaecat nulla pariatur magna anim non in deserunt occaecat do minim.
7,fugiat,OutOfStock,3750.93,USD,0.1,494,Do culpa veniam magna aliquip incididunt cupidatat in cupidatat.
8,reprehenderit,Discontinued,2960.9,USD,3.5,34,Proident aliqua nostrud cupidatat deserunt labore Lorem culpa do labore enim amet nostrud aute.
9,elit,PreOrder,1631.73,USD,4.7,907,Sunt dolore eiusmod voluptate adipisicing consectetur commodo commodo qui.
10,qui,InStock,2207.41,USD,0.1,556,Fugiat in veniam ea enim do elit consequat reprehenderit eu ea sunt deserunt nostrud.
11,id,OnlineOnly,7292.45,USD,0.1,953,Ut cupidatat culpa cillum sunt.
12,veniam,InStoreOnly,9073.12,USD,5,482,Cillum ullamco elit laboris pariatur.
13,esse,PreOrder,8496.75,USD,2.6,14,Minim eiusmod occaecat sint sit.
14,anim,InStock,711.07,USD,4.2,763,Eiusmod culpa excepteur fugiat do consectetur elit anim.
15,excepteur,Discontinued,9038.57,USD,2.6,735,Fugiat eiusmod ea dolor exercitation sint proident sit ut sunt nulla.
16,exercitation,OutOfStock,2730.55,USD,1.5,777,Dolor eu cillum nostrud et eu minim id adipisicing qui occaecat dolore dolor incididunt ad.
17,commodo,Discontinued,5234.53,USD,1.8,844,Commodo tempor ea adipisicing aliqua anim officia consequat reprehenderit ipsum pariatur consectetur culpa.
18,consectetur,SoldOut,4555.42,USD,0.4,185,Id eiusmod sunt id laborum consequat excepteur aliqua excepteur mollit irure do.
19,esse,LimitedAvailability,456.45,USD,3.5,128,Nisi non dolor occaecat aliqua esse.
20,dolor,OutOfStock,9977.28,USD,0.5,209,Esse consectetur aliquip qui reprehenderit sit.
21,voluptate,OnlineOnly,5163.76,USD,2.4,247,Deserunt pariatur consequat aliquip deserunt.
22,reprehenderit,InStock,7820.67,USD,1.3,577,Cupidatat exercitation irure incididunt incididunt eiusmod consequat consectetur.
23,ea,InStock,971.53,USD,2.1,256,Elit aliqua esse velit nulla voluptate magna voluptate irure labore in aute.
24,quis,OutOfStock,9074.1,USD,3.7,974,Cupidatat et cupidatat adipisicing nostrud esse consequat et nostrud anim exercitation culpa officia ullamco.
25,non,InStock,9327.48,USD,3.2,76,Do ad ea aliqua exercitation sit.
26,consequat,InStock,1612.46,USD,3.8,116,Veniam culpa deserunt nostrud fugiat excepteur.
